RegionID,SizeRank,RegionName,RegionType,StateName,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21
395031,51,"Rochester, NY",Msa,NY,"$185,798 ","$193,017 ","$203,339 ","$215,610 ","$224,669 ","$228,783 ","$225,174 ","$217,956 ","$210,737 ","$206,370 ","$202,725 ","$202,725 ","$207,417 ","$219,183 ","$232,573 ","$246,546 ","$252,826 ","$255,677 ","$252,568 ","$248,634 ","$239,611 ","$228,747 ","$219,724 ","$212,542 ","$212,578 ","$221,926 ","$239,611 ","$257,620 ","$266,643 ","$270,577 ","$272,382 ","$272,237 ","$265,019 ","$255,671 ","$248,597 ","$254,673 ","$261,991 ","$274,983 "
394308,60,"Albany, NY",Msa,NY,"$238,360 ","$242,017 ","$245,782 ","$246,542 ","$247,990 ","$250,163 ","$254,507 ","$257,765 ","$257,765 ","$257,041 ","$257,584 ","$257,584 ","$256,860 ","$256,860 ","$260,118 ","$265,187 ","$268,952 ","$271,088 ","$273,224 ","$272,355 ","$268,735 ","$265,114 ","$264,173 ","$264,173 ","$262,272 ","$262,635 ","$266,255 ","$273,550 ","$281,913 ","$293,172 ","$304,069 ","$309,861 ",,,,"$291,185 ",,
395143,79,"Syracuse, NY",Msa,NY,"$134,432 ","$135,631 ","$138,555 ","$144,373 ","$147,560 ","$149,051 ","$150,249 ","$151,594 ","$151,594 ","$150,396 ","$149,051 ","$148,729 ","$148,612 ","$150,074 ","$153,290 ","$159,255 ","$165,102 ","$170,540 ","$172,031 ","$170,569 ","$167,792 ","$164,868 ","$163,435 ","$162,822 ","$163,633 ","$166,557 ","$170,387 ","$178,317 ","$185,597 ","$192,907 ","$195,859 ","$197,321 ","$197,321 ","$198,171 ","$195,717 ","$193,233 ","$188,233 ","$191,567 "
394466,28,"Cincinnati, OH",Msa,OH,"$218,267 ","$219,967 ","$231,600 ","$248,267 ","$261,600 ","$267,600 ","$265,933 ","$259,267 ","$251,633 ","$244,967 ","$241,333 ","$236,300 ","$232,967 ","$236,633 ","$249,967 ","$266,300 ","$279,600 ","$285,967 ","$287,967 ","$284,333 ","$278,000 ","$271,333 ","$264,967 ","$260,933 ","$260,900 ","$269,020 ","$283,020 ","$294,720 ","$308,300 ","$321,333 ","$333,000 ","$334,333 ","$327,667 ","$319,663 ","$309,997 ","$306,297 ","$306,431 ","$314,764 "
394475,29,"Cleveland, OH",Msa,OH,"$161,400 ","$161,567 ","$164,900 ","$171,267 ","$176,267 ","$181,600 ","$183,600 ","$183,633 ","$181,633 ","$179,933 ","$178,267 ","$176,600 ","$174,933 ","$176,567 ","$179,933 ","$185,967 ","$192,500 ","$197,467 ","$199,467 ","$196,267 ","$192,933 ","$188,597 ","$185,263 ","$181,930 ","$179,900 ","$179,933 ","$184,967 ","$191,333 ","$201,300 ","$209,600 ","$218,267 ","$221,300 ","$214,667 ","$206,300 ","$196,600 ","$191,600 ","$188,783 ","$195,150 "
394492,32,"Columbus, OH",Msa,OH,"$254,233 ","$268,433 ","$285,100 ","$302,433 ","$311,600 ","$316,633 ","$314,967 ","$306,633 ","$294,933 ","$283,267 ","$274,767 ","$268,133 ","$264,800 ","$269,967 ","$288,033 ","$308,033 ","$321,366 ","$325,600 ","$325,633 ","$319,633 ","$308,967 ","$293,967 ","$284,933 ","$279,200 ","$282,500 ","$291,850 ","$305,883 ","$315,883 ","$326,400 ","$336,433 ","$344,800 ","$341,600 ","$329,967 ","$319,967 ","$314,997 ","$313,330 ","$310,666 ","$313,969 "
394521,70,"Dayton, OH",Msa,OH,"$136,298 ","$134,173 ","$138,016 ","$143,294 ","$148,642 ","$153,654 ","$158,968 ","$161,057 ","$159,286 ","$155,744 ","$153,265 ","$151,494 ","$151,481 ","$152,190 ","$157,503 ","$162,828 ","$170,479 ","$177,563 ","$186,419 ","$191,165 ","$189,394 ","$183,050 ","$178,475 ","$175,641 ","$174,229 ","$177,032 ","$188,756 ","$201,118 ","$211,953 ","$217,231 ","$217,939 ","$215,499 ","$211,957 ","$212,784 ","$211,769 ","$207,630 ","$204,660 ","$205,297 "
394304,74,"Akron, OH",Msa,OH,"$146,100 ","$144,133 ","$144,633 ","$151,233 ","$159,833 ","$168,133 ","$173,200 ","$172,933 ","$169,300 ","$164,300 ","$159,600 ","$154,900 ","$151,567 ","$151,600 ","$154,967 ","$159,967 ","$166,633 ","$173,267 ","$177,967 ","$177,933 ","$173,800 ","$169,100 ","$163,300 ","$157,433 ","$152,433 ","$151,600 ","$156,600 ","$163,267 ","$171,433 ","$178,133 ","$184,500 ","$187,667 ","$184,300 ","$181,133 ","$174,300 ","$169,333 ","$162,833 ","$163,300 "
395160,86,"Toledo, OH",Msa,OH,"$126,933 ","$125,600 ","$129,967 ","$136,633 ","$144,633 ","$148,267 ","$149,900 ","$147,767 ","$145,467 ","$143,133 ","$141,933 ","$140,900 ","$139,900 ","$139,933 ","$147,800 ","$159,500 ","$174,500 ","$182,300 ","$183,933 ","$180,067 ","$172,767 ","$167,767 ","$163,267 ","$161,567 ","$159,900 ","$159,900 ","$161,567 ","$166,600 ","$179,133 ","$190,800 ","$200,767 ","$208,233 ","$208,266 ","$206,600 ","$194,933 ","$188,266 ","$183,300 ","$191,333 "
394935,42,"Oklahoma City, OK",Msa,OK,"$236,443 ","$238,645 ","$243,457 ","$248,651 ","$253,155 ","$253,846 ","$253,846 ","$251,062 ","$249,308 ","$247,553 ","$247,588 ","$247,588 ","$249,996 ","$254,811 ","$263,410 ","$271,700 ","$278,232 ","$279,642 ","$277,578 ","$273,076 ","$269,946 ","$268,226 ","$268,260 ","$268,260 ","$269,980 ","$273,881 ","$279,192 ","$282,631 ","$287,330 ","$294,421 ","$300,213 ","$301,589 ","$297,821 ","$296,672 ","$296,019 ","$296,019 ","$295,397 ","$299,288 "
395169,55,"Tulsa, OK",Msa,OK,"$192,547 ","$193,829 ","$197,925 ","$203,209 ","$206,336 ","$206,961 ","$206,367 ","$206,336 ","$206,179 ","$206,148 ","$206,148 ","$206,273 ","$206,562 ","$209,407 ","$215,379 ","$222,939 ","$229,505 ","$232,632 ","$234,039 ","$233,257 ","$233,570 ","$235,258 ","$237,603 ","$239,136 ","$237,572 ","$237,541 ","$240,699 ","$246,952 ","$254,801 ","$264,150 ","$272,279 ","$276,969 ","$277,001 ","$277,780 ","$277,803 ","$277,230 ","$276,321 ","$277,391 "
394998,23,"Portland, OR",Msa,OR,"$464,101 ","$470,570 ","$477,068 ","$483,536 ","$485,153 ","$485,124 ","$481,858 ","$475,357 ","$467,271 ","$460,802 ","$457,568 ","$455,951 ","$457,568 ","$460,802 ","$467,271 ","$472,139 ","$475,389 ","$475,397 ","$472,179 ","$468,928 ","$464,101 ","$460,867 ","$457,633 ","$457,632 ","$460,865 ","$468,970 ","$475,407 ","$475,376 ","$475,066 ","$476,683 ","$486,095 ","$489,621 ","$492,855 ","$496,381 ","$504,337 ","$513,749 ","$520,560 ","$524,300 "
