RegionID,SizeRank,RegionName,RegionType,StateName,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21
394865,16,"Minneapolis-St Paul, MN",Msa,MN,"10,315","9,537","10,348","11,752","13,556","15,082","16,172","16,679","16,668","16,397","15,204","13,203","11,269","10,156","10,523","11,722","13,729","15,742","17,022","17,460","17,302","17,005","15,880","13,835","11,781","10,857","11,607","12,430","13,521","13,984","14,618","14,673","14,568","14,352","13,125","11,154","9,303","8,401"
395056,17,"San Diego, CA",Msa,CA,"6,483","6,440","7,166","7,954","8,752","9,305","9,871","10,311","10,585","10,641","10,414","9,781","9,231","8,889","9,244","9,575","10,082","10,403","10,674","10,691","10,401","9,969","9,169","8,149","7,348","7,038","7,301","7,277","7,515","7,634","7,965","7,918","7,777","7,649","7,175","6,438","5,672","5,275"
395121,18,"St. Louis, MO",Msa,MO,"12,945","12,339","12,820","13,635","14,635","15,295","15,765","15,984","15,822","15,653","15,018","13,975","12,685","11,738","11,969","12,669","13,698","14,291","14,582","14,645","14,599","14,628","14,270","13,285","12,124","11,372","11,618","11,549","11,676","11,416","11,598","11,445","11,345","11,270","10,794","9,839",,
395148,19,"Tampa, FL",Msa,FL,"18,217","18,496","19,652","20,405","20,967","20,948","20,565","20,270","19,925","19,976","20,050","19,931","20,296","20,764","21,720","21,603","21,366","21,112","21,059","20,853","20,319","20,062","19,721","19,040","18,751","18,771","19,394","18,937","18,836","18,157","17,698","16,608","15,733","15,510","15,065","14,500","13,769","12,884"
394358,20,"Baltimore, MD",Msa,MD,"12,881","12,202","12,696","13,869","15,097","15,498","15,250","14,812","14,541","14,392","13,976","13,137","12,117","11,362","11,799","12,798","14,058","14,804","15,040","14,840","14,549","14,314","13,744","12,548","11,291","10,606","10,787","10,645","10,739","10,490","10,538","10,163","9,901","9,760","9,247","8,280","7,308","6,581"
394530,21,"Denver, CO",Msa,CO,"10,711","10,118","11,246","12,718","14,518","16,153","17,155","17,714","17,773","17,782","17,043","15,207","13,695","12,936","13,866","15,152","17,202","19,007","20,029","20,210","19,817","19,220","17,505","14,878","12,720","11,740","12,667","13,160","15,009","16,018","17,194","16,704","15,792","14,935","13,157","10,960","8,867","7,239"
394982,22,"Pittsburgh, PA",Msa,PA,"10,718","10,172","10,327","10,759","11,372","11,893","12,197","12,271","11,977","11,711","11,216","10,506","9,778","9,286","9,447","9,778","10,329","10,724","10,800","10,721","10,575","10,571","10,270","9,584","8,964","8,590","8,465","7,806","7,919","8,286","9,035","8,959","8,775","8,483","7,928","6,955","6,216","5,553"
394998,23,"Portland, OR",Msa,OR,"7,663","6,999","7,297","8,068","9,334","10,582","11,517","12,117","12,329","12,203","11,559","10,396","9,424","8,772","9,081","9,651","10,848","11,843","12,598","12,806","12,665","12,166","11,183","9,724","8,596","7,997","8,432","8,760","9,481","9,769","10,223","10,207","9,876","9,501","8,560","7,435","6,390","5,740"
394458,24,"Charlotte, NC",Msa,NC,"10,170","9,985","10,974","11,874","12,790","13,166","13,603","13,806","13,520","13,244","12,664","11,871","11,263","11,068","12,144","12,903","13,933","14,395","15,007","15,081","14,886","14,664","13,951","12,759","11,761","11,320","11,851","11,798","12,202","11,807","11,567","10,845","10,404","10,239","9,712","8,898","7,947","7,153"
395045,25,"Sacramento, CA",Msa,CA,"5,743","5,398","5,831","6,511","7,453","8,219","8,785","9,168","9,290","9,315","8,821","7,936","7,058","6,475","6,576","7,010","7,818","8,579","9,100","9,359","9,320","9,031","8,255","7,134","6,244","5,900","6,190","6,389","6,823","7,146","7,374","7,149","6,836","6,710","6,244","5,449","4,498","3,953"
395055,26,"San Antonio, TX",Msa,TX,"11,321","11,181","11,861","12,698","13,409","13,865","14,216","14,457","14,243","13,863","13,396","12,956","12,705","12,618","13,314","14,062","14,896","15,691","16,429","16,883","16,719","16,396","15,858","15,264","14,732","14,635","14,977","15,013","15,294","15,305","15,295","14,691","13,915","13,427","12,638","11,739",,
394943,27,"Orlando, FL",Msa,FL,"12,247","12,257","12,857","13,308","13,781","13,948","13,979","14,054","14,104","14,216","14,105","13,797","13,713","13,836","14,417","14,588","14,751","14,915","15,072","14,997","14,580","14,380","14,094","13,609","13,188","13,070","13,341","13,095","13,253","13,362","13,692","13,495","13,151","13,050","12,626","12,054",,
394466,28,"Cincinnati, OH",Msa,OH,"8,073","7,687","7,901","8,310","9,021","9,529","10,049","10,275","10,355","10,287","9,932","9,251","8,551","8,042","8,168","8,477","8,986","9,447","9,727","9,852","9,797","9,651","9,206","8,381","7,698","7,221","7,271","7,153","7,366","7,448","7,600","7,488","7,308","7,153","6,737","6,138","5,618","5,026"
394475,29,"Cleveland, OH",Msa,OH,"12,010","11,367","11,694","12,423","13,426","14,160","14,715","14,906","14,786","14,399","13,757","12,744","11,689","11,064","11,375","12,118","13,149","13,952","14,536","14,731","14,610","14,308","13,582","12,521","11,297","10,458","10,321","10,053","10,058","9,984","10,351","10,543","10,501","10,243","9,581","8,549","7,669","6,287"
394735,30,"Kansas City, MO",Msa,MO,"9,198","8,746","9,132","9,928","11,049","12,067","12,549","12,695","12,313","11,701","10,782","9,625","8,966","8,509","8,740","9,240","9,916","10,342","10,540","10,603","10,550","10,422","9,964","9,103","8,194","7,648","7,728","7,716","7,927","7,901","7,975","7,729","7,492","7,450","7,106","6,537","5,841","5,169"
394775,31,"Las Vegas, NV",Msa,NV,"11,797","11,627","12,163","12,719","11,965","10,978","11,048","11,495","12,137","11,758","12,078","11,916","12,074","12,380","13,263","13,762","14,369","14,679","14,909","14,867","14,626","14,353","13,737","12,808","11,971","11,324","11,262","11,116","11,528","11,809","12,100","12,110","12,099","12,167","11,731","10,954","9,925","8,998"
394492,32,"Columbus, OH",Msa,OH,"5,312","4,898","5,070","5,477","6,234","6,863","7,403","7,693","7,684","7,609","7,188","6,531","5,836","5,322","5,443","5,684","6,336","6,858","7,321","7,518","7,536","7,499","7,124","6,463","5,807","5,330","5,350","5,306","5,508","5,573","5,742","5,726","5,658","5,700","5,433","4,931","4,326","3,854"
394705,33,"Indianapolis, IN",Msa,IN,"7,223","6,772","7,109","7,498","7,806","7,968","8,236","8,659","8,753","8,833","8,563","8,004","7,335","6,831","6,943","7,218","7,817","8,367","8,866","9,201","9,334","9,368","9,011","8,315","7,633","7,161","7,131","6,918","7,003","6,933","7,007","6,861","6,854","7,020","6,884","6,341","5,697","5,075"
395059,34,"San Jose, CA",Msa,CA,"1,304","1,320","1,689","2,092","2,510","2,747","2,952","3,027","3,164","3,273","3,177","2,741","2,312","2,208","2,533","2,953","3,380","3,654","3,778","3,667","3,544","3,397","3,041","2,432","1,898","1,790","2,003","2,151","2,398","2,657","2,993","3,096","3,174","3,272","3,136","2,754","2,355","2,265"
394355,35,"Austin, TX",Msa,TX,"7,955","7,577","8,157","9,159","10,295","11,094","11,516","11,597","11,272","10,902","10,390","9,785","9,171","8,791","9,151","9,747","10,495","11,247","11,782","12,060","11,859","11,503","10,827","9,813","9,066","8,720","9,143","9,445","10,185","10,446","10,617","10,058","9,468","8,953","8,230","7,381",,
395194,36,"Virginia Beach, VA",Msa,VA,"11,856","11,474","11,788","12,465","13,248","13,769","13,943","13,847","13,364","12,990","12,484","11,865","11,338","11,057","11,446","12,009","12,704","13,104","13,197","13,003","12,587","12,081","11,399","10,595","9,935","9,671","9,997","10,145","10,297","10,068","9,903","9,522","9,159","8,854","8,470","7,862","7,236","6,532"
394902,37,"Nashville, TN",Msa,TN,"8,701","8,405","8,799","9,490","10,329","11,060","11,588","11,987","12,084","12,164","11,995","11,530","11,079","10,756","11,026","11,482","12,210","12,878","13,474","13,649","13,624","13,542","13,195","12,471","11,616","11,189","11,350","11,480","12,010","12,375","12,714","12,456","11,883","11,350","10,615","9,706","8,937","7,389"
395005,38,"Providence, RI",Msa,RI,"5,961","5,439","5,421","5,879","6,608","7,361","7,899","8,190","8,289","8,327","8,030","7,379","6,584","6,064","6,070","6,425","7,043","7,548","7,770","7,768","7,753","7,747","7,412","6,748","6,046","5,620","5,573","5,439","5,507","5,552","5,785","5,779","5,685","5,551","5,259","4,719","4,147","3,423"
394862,39,"Milwaukee, WI",Msa,WI,"3,791","3,512","3,641","4,003","4,513","4,790","4,955","4,939","4,921","4,888","4,691","4,333","3,865","3,537","3,545","3,706","4,065","4,392","4,653","4,737","4,723","4,653","4,384","3,955","3,455","3,249","3,371","3,566","3,752","3,911","4,190","4,448","4,602","4,663","4,470","4,000","3,437","3,023"
394714,40,"Jacksonville, FL",Msa,FL,"9,728","9,974","10,776","11,558","12,096","12,385","12,630","12,742","12,615","12,393","12,107","11,624","11,406","11,463","12,149","12,877","13,346","13,619","13,489","13,298","12,857","12,628","12,271","11,858","11,465","11,517","11,975","11,994","12,001","11,575","11,241","10,540","9,809","9,286","8,716","8,186","7,646","6,890"
394849,41,"Memphis, TN",Msa,TN,"5,736","5,571","5,682","5,901","6,219","6,517","6,801","6,966","6,927","6,787","6,516","6,288","6,097","6,036","6,177","6,251","6,335","6,334","6,398","6,423","6,355","6,264","6,044","5,724","5,436","5,217","5,197","5,097","5,133","4,998","4,891","4,647","4,468","4,291","4,079","3,761","3,463","3,186"
394935,42,"Oklahoma City, OK",Msa,OK,"8,646","8,383","8,573","8,793","9,203","9,418","9,549","9,503","9,284","8,980","8,665","8,222","7,801","7,385","7,369","7,581","7,874","8,213","8,423","8,637","8,503","8,257","7,841","7,385","7,050","6,837","6,924","6,884","7,127","7,148","7,163","6,875","6,576","6,318","5,875","5,348","4,876","4,321"
394807,43,"Louisville-Jefferson County, KY",Msa,KY,"4,496","4,307","4,493","4,730","5,048","5,392","5,763","5,984","6,014","6,031","5,934","5,634","5,294","4,994","5,088","5,220","5,513","5,731","5,936","6,040","6,095","6,116","5,950","5,478","5,055","4,757","4,743","4,591","4,610","4,538","4,523","4,349","4,253","4,265","4,169","3,918","3,606","3,236"
394669,44,"Hartford, CT",Msa,CT,"5,866","5,255","5,151","5,571","6,233","6,871","7,021","7,070","6,901","6,829","6,570","6,011","5,381","4,986","5,090","5,466","6,047","6,460","6,680","6,672","6,617","6,507","6,186","5,616","5,050","4,707","4,692","4,515","4,501","4,496","4,700","4,696","4,704","4,714","4,520","4,023","3,451","2,941"
395022,45,"Richmond, VA",Msa,VA,"4,944","4,775","5,061","5,541","5,960","6,219","6,288","6,284","6,158","6,081","5,835","5,390","4,943","4,670","4,841","5,101","5,526","5,812","5,993","5,977","5,929","5,947","5,772","5,364","4,956","4,770","4,954","5,033","5,121","4,991","4,867","4,652","4,530","4,497","4,331","3,965","3,565","3,244"
394910,46,"New Orleans, LA",Msa,LA,"3,840","3,819","4,036","4,235","4,438","4,513","4,555","4,493","4,334","4,215","4,086","3,937","3,834","3,810","3,960","4,097","4,274","4,508","4,632","4,734","4,614","4,483","4,214","3,927","3,737","3,612","3,688","3,638","3,745","3,653","3,600",,,,"2,781","2,655","2,566","2,446"
394425,47,"Buffalo, NY",Msa,NY,"2,807","2,532","2,543","2,674","2,988","3,255","3,552","3,715","3,784","3,721","3,484","3,130","2,788","2,552","2,577","2,679","2,956","3,243","3,485","3,614","3,635","3,591","3,390","3,016","2,670","2,433","2,371","2,177","2,180","2,348","2,668","2,863","2,831","2,734","2,467","2,115","1,809","1,584"
395012,48,"Raleigh, NC",Msa,NC,"6,348","6,223","6,664","7,168","7,719","8,058","8,091","7,984","7,660","7,624","7,383","7,070","6,803","6,712","7,083","7,397","7,913","8,495","8,807","8,962","8,792","8,796","8,540","8,078","7,744","7,570","7,861","7,846","7,991","7,682","7,453","6,987","6,596","6,277","5,689","5,003","4,306","3,756"
394388,49,"Birmingham, AL",Msa,AL,"6,245","6,170","6,415","6,722","6,997","7,222","7,283","7,299","7,173","7,034","6,742","6,306","5,956","5,748","5,937","6,145","6,402","6,637","6,815","6,935","6,853","6,655","6,318","5,859","5,575","5,429","5,578","5,536","5,605","5,548","5,553","5,421","5,302","5,219","5,031","4,691","4,439","4,132"
395053,50,"Salt Lake City, UT",Msa,UT,"2,593","2,560","2,798","3,179","3,698","4,137","4,447","4,694","4,875","5,054","4,974","4,625","4,249","3,937","4,102","4,364","4,816","5,140","5,279","5,317","5,212","5,080","4,678","4,085","3,554","3,216","3,385","3,639","4,066","4,191","4,160","3,953","3,720","3,553","3,167","2,684","2,232","1,862"
395031,51,"Rochester, NY",Msa,NY,"3,074","2,837","2,917","3,201","3,574","3,891","4,080","4,191","4,173","4,080","3,833","3,435","3,037","2,773","2,798","2,974","3,285","3,585","3,787","3,829","3,805","3,734","3,543","3,173","2,793","2,583","2,574","2,470","2,526","2,682","2,965","3,107","3,067","2,993","2,708","2,267","1,884","1,613"
394640,52,"Grand Rapids, MI",Msa,MI,"3,290","2,923","2,951","3,155","3,553","3,919","4,272","4,540","4,628","4,590","4,342","3,965","3,593","3,300","3,296","3,444","3,816","4,237","4,566","4,742","4,788","4,780","4,539","4,094","3,612","3,300","3,266","3,081","3,328","3,504","3,858","3,774","3,553","3,505","3,252","2,983","2,548","2,280"
395167,53,"Tucson, AZ",Msa,AZ,"4,959","4,980","5,187","5,191","5,195","5,045","4,844","4,686","4,536","4,558","4,644","4,687","4,831","4,900","5,172","5,283","5,293","5,168","4,948","4,769","4,607","4,571","4,549","4,434","4,397","4,392","4,552","4,451","4,372","4,121","3,915","3,692","3,653","3,765","3,757","3,538",,
753924,54,"Urban Honolulu, HI",Msa,HI,"3,492","3,458","3,687","3,925","4,146","4,225","4,310","4,345","4,306","4,229","4,183","4,123","4,122","4,164","4,350","4,521","4,686","4,780","4,877","4,936","4,951","4,899","4,763","4,579","4,371","4,276","4,335","4,314","4,284","4,227","4,334","4,401","4,387","4,333","4,251","4,130","3,946",
395169,55,"Tulsa, OK",Msa,OK,"5,769","5,645","5,767","5,917","6,108","6,303","6,473","6,609","6,548","6,388","6,054","5,651","5,345","5,169","5,211","5,304","5,395","5,499","5,538","5,560","5,444","5,276","5,008","4,707","4,480","4,391","4,525","4,502","4,540","4,456","4,408","4,302","4,127","4,093","3,913","3,653","3,386","3,024"
394619,56,"Fresno, CA",Msa,CA,"1,920","1,884","2,008","2,152","2,319","2,430","2,527","2,605","2,647","2,672","2,595","2,457","2,326","2,267","2,360","2,452","2,589","2,689","2,750","2,780","2,762","2,735","2,623","2,421","2,242","2,127","2,147","2,103","2,083","1,984","1,924","1,839","1,791","1,759","1,670","1,517","1,359","1,248"
395238,57,"Worcester, MA",Msa,MA,"2,917","2,636","2,670","2,948","3,370","3,750","3,942","4,033","4,068","4,149","4,008","3,610","3,133","2,798","2,798","2,979","3,372","3,728","3,893","3,874","3,836","3,821","3,648","3,206","2,769","2,499","2,529","2,489","2,572","2,629","2,693","2,636","2,530","2,533","2,385","2,102","1,772","1,505"
394415,58,"Stamford, CT",Msa,CT,"5,704","5,308","5,458","6,355","7,156","7,739","7,555","7,360","7,158","7,016","6,766","6,169","5,584","5,351","5,715","6,311","7,040","7,493","7,659","7,413","7,208","7,035","6,740","6,083","5,419","5,190","5,389","5,393","5,506","5,677","6,121","6,159","6,033","5,802","5,399","4,738","4,065","3,508"
394312,59,"Albuquerque, NM",Msa,NM,"3,825","3,639","3,714","3,894","4,158","4,388","4,533","4,624","4,584","4,496","4,273","3,959","3,633","3,397","3,411","3,555","3,747","3,968","4,107","4,192","4,121","4,056","3,885","3,586","3,265","3,050","3,083","3,064","3,144","3,089","3,093","2,993","2,924","2,888","2,750","2,553","2,302","2,141"
394308,60,"Albany, NY",Msa,NY,"2,644","2,441","2,454","2,559","2,788","2,976","3,152","3,194","3,205","3,176","3,082","2,867","2,631","2,449","2,439","2,500","2,699","2,880","3,013","3,055","3,070","3,051","2,912","2,639","2,371","2,191","2,144","2,028","2,035","2,103","2,259","2,328","2,333","2,334","2,221","2,006","1,799","1,583"
394938,61,"Omaha, NE",Msa,NE,"3,035","2,907","3,065","3,292","3,597","3,854","4,057","4,186","4,213","4,170","4,039","3,713","3,396","3,120","3,109","3,253","3,567","3,870","4,016","4,093","4,133","4,171","4,006","3,647","3,304","3,135","3,314","3,441","3,656","3,632","3,608","3,422","3,267","3,143","2,920","2,589","2,264","2,000"
394908,62,"New Haven, CT",Msa,CT,"4,063","3,655","3,590","3,887","4,288","4,554","4,563","4,562","4,515","4,454","4,247","3,909","3,553","3,339","3,432","3,685","4,053","4,296","4,400","4,355","4,249","4,123","3,863","3,477","3,121","2,953","3,014","2,954","2,957","2,952","3,078","3,119","3,143","3,137","2,997","2,653","2,306","1,975"
394357,63,"Bakersfield, CA",Msa,CA,"2,505","2,548","2,750","2,960","3,130","3,293","3,406","3,527","3,548","3,517","3,356","3,117","2,964","2,879","2,986","3,060","3,195","3,318","3,425","3,485","3,448","3,396","3,265","3,057","2,859","2,750","2,803","2,801","2,867","2,832","2,840","2,785","2,762","2,695","2,491","2,229","2,015","1,876"
394753,64,"Knoxville, TN",Msa,TN,"4,498","4,342","4,411","4,583","4,807","4,945","5,076","5,188","5,210","5,145","4,956","4,663","4,389","4,220","4,320","4,457","4,637","4,750","4,769","4,778","4,716","4,712","4,623","4,391","4,136","3,892","3,874","3,806","3,848","3,785","3,681","3,473","3,315","3,319","3,271","3,093","2,835","2,558"
394653,65,"Greenville, SC",Msa,SC,"5,580","5,418","5,667","5,855","6,080","6,119","6,145","6,160","6,099","6,014","5,820","5,538","5,331","5,191","5,445","5,637","6,022","6,339","6,705","6,946","6,965","6,846","6,536","6,126","5,856","5,730","5,824","5,837","5,900","5,789","5,673","5,438","5,206","5,099","4,875","4,680","4,363",
394952,66,"Ventura, CA",Msa,CA,"1,611","1,568","1,705","1,882","2,115","2,310","2,481","2,598","2,644","2,634","2,507","2,300","2,131","2,046","2,149","2,273","2,468","2,599","2,709","2,694","2,588","2,423","2,249","2,003","1,833","1,758","1,842","1,851","1,921","1,992","2,095","2,049","1,954","1,839","1,692","1,485","1,310","1,231"
394318,67,"Allentown, PA",Msa,PA,"3,798","3,574","3,611","3,794","4,094","4,392","4,580","4,644","4,622","4,605","4,471","4,160","3,827","3,594","3,634","3,776","4,004","4,180","4,265","4,282","4,219","4,118","3,888","3,555","3,237","3,023","2,952","2,670","2,620","2,737","3,026","3,069","2,975","2,934","2,801","2,546","2,245","1,969"
